name,year_start,year_end,position,height,weight,birth_date,college
Aleksandar Radojevic,2000,2005,C,07-Mar,250,"August 8, 1976",Barton County Community College
Alex Abrines,2017,2018,G-F,06-Jun,190,"August 1, 1993",
Alex Acker,2006,2009,G,06-May,185,"January 21, 1983",Pepperdine University
Alex Blackwell,1993,1993,F,06-Jun,250,"June 27, 1970",Monmouth University
Alex Bradley,1982,1982,F,06-Jun,215,"October 30, 1959",Villanova University
Alex Caruso,2018,2018,G,06-May,186,"February 28, 1994",Texas A&M University
Alex English,1977,1991,F,06-Jul,190,"January 5, 1954",University of South Carolina
Alex Garcia,2004,2005,G,06-Mar,220,"March 4, 1980",
Alex Groza,1950,1951,C,06-Jul,218,"October 7, 1926",University of Kentucky
Alex Hannum,1950,1957,F-C,06-Jul,210,"July 19, 1923",University of Southern California
Alex Kirk,2015,2015,C,7-0,245,"November 14, 1991",University of New Mexico
Alex Len,2014,2018,C,07-Jan,260,"June 16, 1993",University of Maryland
Alex Poythress,2017,2018,F,06-Jul,238,"September 6, 1993",University of Kentucky
Alex Scales,2006,2006,G,06-Apr,185,"July 3, 1978",University of Oregon
Alex Stepheson,2016,2016,F,06-Oct,270,"August 7, 1987",University of Southern California
Alex Stivrins,1986,1993,F,06-Aug,220,"November 29, 1962",University of Colorado
Alexander Johnson,2007,2008,F,06-Sep,240,"February 8, 1983",Florida State University
Alexander Volkov,1990,1992,C,06-Oct,218,"March 28, 1964",
Alexey Shved,2013,2015,G,06-Jun,190,"December 16, 1988",
Alexis Ajinca,2009,2017,C,07-Feb,248,"May 6, 1988",
Al-Farouq Aminu,2011,2018,F,06-Sep,220,"September 21, 1990",Wake Forest University
Alfonzo McKinnie,2018,2018,F,06-Aug,215,"September 17, 1992",University of Wisconsin-Green Bay
Alfred McGuire,1952,1955,G-F,06-Feb,180,"September 7, 1928",St. John's University
Alfredrick Hughes,1986,1986,F-G,06-May,215,"July 19, 1962",Loyola University of Chicago
Allan Bristow,1974,1983,F-G,06-Jul,210,"August 23, 1951",Virginia Polytechnic Institute and State University
Allan Houston,1994,2005,G,06-Jun,200,"April 20, 1971",University of Tennessee
Allan Ray,2007,2007,G,06-Feb,190,"June 17, 1984",Villanova University
Allen Crabbe,2014,2018,G-F,06-Jun,210,"April 9, 1992",University of California
Allen Iverson,1997,2010,G,6-0,165,"June 7, 1975",Georgetown University
Allen Leavell,1980,1989,G,06-Jan,170,"May 27, 1957",Oklahoma City University
Allen Murphy,1976,1977,G,06-May,190,"July 15, 1952",University of Louisville
Allie McGuire,1974,1974,G,06-Mar,175,"July 10, 1951",Marquette University
Alonzo Bradley,1978,1980,F,06-Jun,190,"October 16, 1953",Texas Southern University
Alonzo Gee,2010,2017,G,06-Jun,225,"May 29, 1987",University of Alabama
Alonzo Mourning,1993,2008,C,06-Oct,240,"February 8, 1970",Georgetown University
Alphonso Ford,1994,1995,G,06-Jan,190,"October 31, 1971",Mississippi Valley State University
Alton Ford,2002,2004,F,06-Sep,275,"May 29, 1981",University of Houston
Alton Lister,1982,1998,C-F,7-0,240,"October 1, 1958",Arizona State University
Alvan Adams,1976,1988,C-F,06-Sep,210,"July 19, 1954",University of Oklahoma
Alvin Heggs,1996,1996,F,06-Aug,225,"December 12, 1967",University of Texas at Austin
Alvin Jones,2002,2002,C,06-Nov,265,"September 9, 1978",Georgia Institute of Technology
Alvin Robertson,1985,1996,G,06-Mar,185,"July 22, 1962",University of Arkansas
Alvin Scott,1978,1985,F-G,06-Jul,185,"September 14, 1955",Oral Roberts University
Alvin Sims,1999,1999,G,06-Apr,235,"October 18, 1974",University of Louisville
Alvin Williams,1998,2007,G,06-May,185,"August 6, 1974",Villanova University
Amal McCaskill,1997,2004,F-C,06-Nov,235,"October 28, 1973",Marquette University
Amar'e Stoudemire,2003,2016,F-C,06-Oct,245,"November 16, 1982",
Amir Johnson,2006,2018,F-C,06-Sep,240,"May 1, 1987",
Anderson Varejao,2005,2017,F-C,06-Oct,273,"September 28, 1982",
Andrae Patterson,1999,2000,F,06-Sep,238,"November 12, 1975",Indiana University
Andray Blatche,2006,2014,F,06-Nov,235,"August 22, 1986",
Andre Barrett,2005,2008,G,05-Oct,172,"February 21, 1982",Seton Hall University
Andre Brown,2007,2009,F,06-Sep,245,"May 12, 1981",DePaul University
Andre Dawkins,2015,2015,G,06-May,215,"September 19, 1991",Duke University
Andre Drummond,2013,2018,C,06-Nov,279,"August 10, 1993",University of Connecticut
Andre Emmett,2005,2012,F,06-May,230,"August 27, 1982",Texas Tech University
Andre Iguodala,2005,2018,G-F,06-Jun,215,"January 28, 1984",University of Arizona
Andre McCarter,1977,1981,G,06-Mar,190,"August 25, 1953","University of California, Los Angeles"
Andre Miller,2000,2016,G,06-Mar,200,"March 19, 1976",University of Utah
Andre Moore,1988,1988,F,06-Sep,215,"July 2, 1964",Loyola University of Chicago
Andre Owens,2006,2008,G,06-Apr,200,"October 31, 1980",University of Houston
Andre Roberson,2014,2018,G-F,06-Jul,210,"December 4, 1991",University of Colorado
Andre Spencer,1993,1994,F,06-Jun,210,"July 20, 1964",Northern Arizona University
Andre Turner,1987,1992,G,05-Nov,160,"December 13, 1964",University of Memphis
Andre Wakefield,1979,1980,G,06-Mar,175,"January 11, 1955",Loyola University of Chicago
Andrea Bargnani,2007,2016,F-C,7-0,245,"October 26, 1985",
Andreas Glyniadakis,2007,2007,C,07-Jan,280,"August 21, 1981",
Andrei Kirilenko,2002,2015,F,06-Sep,220,"February 18, 1981",
Andres Guibert,1994,1995,F-C,06-Oct,225,"October 28, 1968",
Andres Nocioni,2005,2012,F,06-Jul,225,"November 30, 1979",
Andrew Anderson,1968,1970,G,06-Feb,184,"July 6, 1945",Canisius College
Andrew Bogut,2006,2018,C,7-0,260,"November 28, 1984",University of Utah
Andrew Bynum,2006,2014,C,7-0,285,"October 27, 1987",
Andrew DeClercq,1996,2005,F-C,06-Oct,230,"February 1, 1973",University of Florida
Andrew Gaze,1994,1999,G,06-Jul,205,"July 24, 1965",Seton Hall University
Andrew Goudelock,2012,2016,G,06-Mar,200,"December 7, 1988",College of Charleston
Andrew Harrison,2017,2018,G,06-Jun,213,"October 28, 1994",University of Kentucky
Andrew Lang,1989,2000,C,06-Nov,245,"June 28, 1966",University of Arkansas
Andrew Levane,1949,1953,F-G,06-Feb,190,"April 11, 1920",St. John's University
Andrew Nicholson,2013,2017,F,06-Sep,250,"December 8, 1989",St. Bonaventure University
Andrew Toney,1981,1988,G,06-Mar,178,"November 23, 1957",University of Louisiana at Lafayette
Andrew Wiggins,2015,2018,F-G,06-Aug,199,"February 23, 1995",University of Kansas
Andris Biedrins,2005,2014,C,06-Nov,240,"April 2, 1986",
Andy Duncan,1949,1951,F-C,06-Jun,195,"April 17, 1922",College of William & Mary
Andy Johnson,1959,1962,F-G,06-May,215,"November 8, 1932",University of Portland
Andy Kostecka,1949,1949,F,06-Mar,203,"February 10, 1921",Georgetown University
Andy O'Donnell,1950,1950,G,06-Jan,180,"March 10, 1925",Loyola College in Maryland
Andy Panko,2001,2001,F,06-Sep,222,"November 27, 1977",Lebanon Valley College
Andy Phillip,1948,1958,G-F,06-Feb,195,"March 7, 1922",University of Illinois at Urbana-Champaign
Andy Rautins,2011,2011,G,06-Apr,190,"November 2, 1986",Syracuse University
Andy Tonkovich,1949,1949,G,06-Jan,185,"November 1, 1922",Marshall University
Andy Toolson,1991,1996,G-F,06-Jun,210,"January 19, 1966",Brigham Young University
Andy Walker,1977,1977,G,06-Apr,190,"March 25, 1955",Niagara University
Anfernee Hardaway,1994,2008,G-F,06-Jul,195,"July 18, 1971",University of Memphis
Angelo Musi,1947,1949,G,05-Sep,145,"July 25, 1918",Temple University
Ansley Truitt,1973,1973,C,06-Sep,215,"August 24, 1950",University of California
