name,year_start,year_end,position,height,weight,birth_date,college
Darrell Hardy,1968,1968,F,06-Jul,220,,Baylor University
Darrell Lockhart,1984,1984,C,06-Sep,245,"September 14, 1960",Auburn University
Darrell Walker,1984,1993,G,06-Apr,180,"March 9, 1961",University of Arkansas
Darren Collison,2010,2018,G,6-0,175,"August 23, 1987","University of California, Los Angeles"
Darren Daye,1984,1988,F-G,06-Aug,220,"November 30, 1960","University of California, Los Angeles"
Darren Morningstar,1994,1994,C,06-Oct,235,"April 22, 1969",University of Pittsburgh
Darren Tillis,1983,1984,C-F,06-Nov,215,"February 23, 1960",Cleveland State University
Darrick Martin,1995,2008,G,05-Nov,170,"March 6, 1971","University of California, Los Angeles"
Darrin Hancock,1995,1997,G-F,06-Jul,205,"November 3, 1971",University of Kansas
Darrun Hilliard,2016,2018,G,06-Jun,205,"April 13, 1993",Villanova University
Darryl Dawkins,1976,1989,C,06-Nov,251,"January 11, 1957",
Darryl Johnson,1996,1996,G,06-Jan,170,"October 26, 1965",Michigan State University
Darryl Watkins,2008,2012,C,06-Nov,258,"November 8, 1984",Syracuse University
Darvin Ham,1997,2005,F,06-Jul,220,"July 23, 1973",Texas Tech University
Darwin Cook,1981,1989,G,06-Mar,184,"August 6, 1958",University of Portland
Dave Batton,1983,1984,C,06-Oct,240,"March 26, 1956",University of Notre Dame
Dave Bing,1967,1978,G,06-Mar,180,"November 24, 1943",Syracuse University
Dave Britton,1981,1981,G,06-Apr,180,"August 29, 1958",Texas A&M University
Dave Budd,1961,1965,F,06-Jun,205,"October 28, 1938",Wake Forest University
Dave Corzine,1979,1991,C,06-Nov,250,"April 25, 1956",DePaul University
Dave Cowens,1971,1983,C-F,06-Sep,230,"October 25, 1948",Florida State University
Dave DeBusschere,1963,1974,F-G,06-Jun,220,"October 16, 1940",University of Detroit Mercy
Dave Deutsch,1967,1967,G,06-Jan,170,"May 13, 1945",University of Rochester
Dave Fedor,1963,1963,F,06-Jun,190,"December 10, 1940",Florida State University
Dave Feitl,1987,1992,C,06-Nov,235,"June 8, 1962",University of Texas at El Paso
Dave Gambee,1959,1970,F,06-Jun,215,"April 16, 1937",Oregon State University
Dave Greenwood,1980,1991,F-C,06-Sep,222,"May 27, 1957","University of California, Los Angeles"
Dave Gunther,1963,1963,F,06-Jul,190,"July 22, 1937",University of Iowa
Dave Henderson,1988,1988,G,06-May,195,"July 21, 1964",Duke University
Dave Hoppen,1988,1993,C-F,06-Nov,235,"March 13, 1964",University of Nebraska
Dave Jamerson,1991,1994,G-F,06-May,190,"August 13, 1967",Ohio University
Dave Johnson,1993,1994,G-F,06-Jul,210,"November 16, 1970",Syracuse University
Dave Lattin,1968,1973,F-C,06-Jun,225,"December 23, 1943",University of Texas at El Paso
Dave Magley,1983,1983,F,06-Aug,202,"November 24, 1959",University of Kansas
Dave Meyers,1976,1980,F-C,06-Aug,215,"April 21, 1953","University of California, Los Angeles"
Dave Minor,1952,1953,G-F,06-Feb,185,"February 23, 1922","University of California, Los Angeles"
Dave Newmark,1969,1971,C,7-0,240,"September 11, 1946",Columbia University
Dave Piontek,1957,1963,F-C,06-Jun,230,"August 27, 1934",Xavier University
Dave Popson,1989,1992,F-C,06-Oct,220,"May 17, 1964",University of North Carolina
Dave Robisch,1972,1984,C-F,06-Oct,235,"December 22, 1949",University of Kansas
Dave Schellhase,1967,1968,G,06-Mar,205,"October 14, 1944",Purdue University
Dave Scholz,1970,1970,F,06-Aug,220,"April 12, 1948",University of Illinois at Urbana-Champaign
Dave Sorenson,1971,1973,F,06-Aug,225,"July 8, 1948",Ohio State University
Dave Stallworth,1966,1975,F-C,06-Jul,200,"December 20, 1941",Wichita State University
Dave Twardzik,1973,1980,G,06-Jan,175,"September 20, 1950",Old Dominion University
Dave Wohl,1972,1978,G,06-Feb,185,"November 2, 1949",University of Pennsylvania
Dave Zeller,1962,1962,G,06-Jan,175,"June 8, 1939",Miami University
David Andersen,2010,2011,C,06-Nov,245,"June 23, 1980",
David Benoit,1992,2001,F,06-Aug,220,"May 9, 1968",University of Alabama
David Burns,1982,1982,G,06-Feb,180,"July 3, 1958",Saint Louis University
David Bustion,1973,1973,F,06-Aug,215,"August 30, 1949",University of Denver
David Cooke,1986,1986,F,06-Aug,230,"September 27, 1963",Saint Mary's College of California
David Gaines,1968,1968,G,06-Jan,170,"February 27, 1942",LeMoyne-Owen College
David Harrison,2005,2008,C,7-0,280,"August 15, 1982",University of Colorado
David Lee,1968,1969,F,06-Jul,225,"March 31, 1942",University of San Francisco
David Lee,2006,2017,F,06-Sep,245,"April 29, 1983",University of Florida
David Noel,2007,2007,F,06-Jun,230,"February 27, 1984",University of North Carolina
David Nwaba,2017,2018,G,06-Apr,209,"January 14, 1993","California Polytechnic State University, San Luis Obispo"
David Pope,1985,1986,F,06-Jul,220,"April 15, 1962",Norfolk State University
David Rivers,1989,1992,G,6-0,170,"January 20, 1965",University of Notre Dame
David Robinson,1990,2003,C,07-Jan,235,"August 6, 1965",United States Naval Academy
David Stockton,2015,2015,G,05-Nov,165,"June 24, 1991",Gonzaga University
David Thirdkill,1983,1987,F-G,06-Jul,195,"April 12, 1960",Bradley University
David Thompson,1976,1984,G-F,06-Apr,195,"July 13, 1954",North Carolina State University
David Vanterpool,2001,2001,G,06-May,200,"March 31, 1973",St. Bonaventure University
David Vaughn,1975,1976,C,06-Nov,220,"June 4, 1952",Oral Roberts University
David Vaughn,1996,1999,F,06-Sep,240,"March 23, 1973",University of Memphis
David Wear,2015,2015,F,06-Oct,230,"September 21, 1990","University of California, Los Angeles"
David Wesley,1994,2007,G,6-0,190,"November 14, 1970",Baylor University
David West,2004,2018,F,06-Sep,250,"August 29, 1980",Xavier University
David Wingate,1987,2001,G-F,06-May,185,"December 15, 1963",Georgetown University
David Wood,1989,1997,F,06-Sep,227,"November 30, 1964","University of Nevada, Reno"
Davis Bertans,2017,2018,F,06-Oct,210,"November 12, 1992",
De'Aaron Fox,2018,2018,G,06-Mar,170,"December 20, 1997",University of Kentucky
Dean Garrett,1997,2002,C,06-Oct,225,"November 27, 1966",Indiana University
Dean Meminger,1972,1977,G,6-0,175,"May 13, 1948",Marquette University
Dean Oliver,2002,2003,G,05-Nov,180,"November 5, 1978",University of Iowa
Dean Tolson,1975,1978,F,06-Aug,190,"November 25, 1951",University of Arkansas
DeAndre' Bembry,2017,2018,F,06-Jun,210,"July 4, 1994",Saint Joseph's University
DeAndre Jordan,2009,2018,C,06-Nov,265,"July 21, 1988",Texas A&M University
DeAndre Liggins,2012,2018,G,06-Jun,209,"March 31, 1988",University of Kentucky
Deb Smith,1947,1947,F,06-Mar,180,"January 7, 1920",University of Utah
Dedric Willoughby,2000,2000,G-F,06-Mar,180,"May 27, 1974",Iowa State University
Dee Brown,1991,2002,G,06-Jan,160,"November 29, 1968",Jacksonville University
Dee Brown,2007,2009,G,6-0,185,"August 17, 1984",University of Illinois at Urbana-Champaign
Dee Gibson,1950,1950,F-G,05-Nov,175,"August 25, 1923",Western Kentucky University
Dejounte Murray,2017,2018,G,06-May,170,"September 19, 1996",University of Washington
DeJuan Blair,2010,2016,F-C,06-Jul,270,"April 22, 1989",University of Pittsburgh
DeJuan Wheat,1998,1999,G,6-0,165,"October 14, 1973",University of Louisville
Del Beshore,1979,1980,G,05-Nov,165,"November 29, 1956",California University of Pennslyvania
Delaney Rudd,1990,1993,G,06-Feb,180,"November 8, 1962",Wake Forest University
Dell Curry,1987,2002,G,06-Apr,190,"June 25, 1964",Virginia Polytechnic Institute and State University
Dell Demps,1994,1997,G,06-Mar,205,"February 12, 1970",University of the Pacific
Delon Wright,2016,2018,G,06-May,183,"April 26, 1992",University of Utah
Delonte West,2005,2012,G,06-Apr,180,"July 26, 1983",Saint Joseph's University
DeMar DeRozan,2010,2018,G-F,06-Jul,221,"August 7, 1989",University of Southern California
DeMarco Johnson,2000,2000,F,06-Sep,245,"October 6, 1975",University of North Carolina at Charlotte
DeMarcus Cousins,2011,2018,C-F,06-Nov,270,"August 13, 1990",University of Kentucky
DeMarcus Nelson,2009,2009,G,06-Apr,200,"November 2, 1985",Duke University
DeMarre Carroll,2010,2018,F,06-Aug,215,"July 27, 1986",University of Missouri
Demetris Nichols,2008,2009,F,06-Aug,216,"September 4, 1984",Syracuse University
Demetrius Calip,1992,1992,G,06-Jan,165,"November 18, 1969",University of Michigan
Demetrius Jackson,2017,2018,G,06-Jan,201,"September 7, 1994",University of Notre Dame
Deng Gai,2006,2006,F,06-Sep,250,"March 22, 1982",Fairfield University
Dennis Awtrey,1971,1982,C,06-Oct,235,"February 22, 1948",Santa Clara University
Dennis Bell,1974,1976,F,06-May,185,"June 2, 1951",Drake University
Dennis Boyd,1979,1979,G,06-Jan,175,"May 21, 1954",University of Detroit Mercy
Dennis DuVal,1975,1976,G,06-Mar,175,"March 31, 1952",Syracuse University
Dennis Grey,1969,1970,C-F,06-Aug,215,"August 26, 1947",California Western Uiversity
Dennis Hamilton,1968,1971,F,06-Aug,210,"May 8, 1944",Arizona State University
Dennis Holman,1968,1968,G,06-Mar,175,"October 8, 1945",Southern Methodist University
Dennis Hopson,1988,1992,G-F,06-May,200,"April 22, 1965",Ohio State University
Dennis Horner,2012,2012,F,06-Sep,230,"February 5, 1988",North Carolina State University
Dennis Johnson,1977,1990,G,06-Apr,185,"September 18, 1954",Pepperdine University
Dennis Nutt,1987,1987,G,06-Feb,170,"March 25, 1963",Texas Christian University
Dennis Rodman,1987,2000,F,06-Jul,210,"May 13, 1961",Southeastern Oklahoma State University
Dennis Schroder,2014,2018,G,06-Jan,172,"September 15, 1993",
Dennis Scott,1991,2000,F,06-Aug,229,"September 5, 1968",Georgia Institute of Technology
Dennis Smith,2018,2018,G,06-Mar,195,"November 25, 1997",North Carolina State University
Dennis Stewart,1971,1971,F,06-Jun,220,"April 11, 1947",University of Michigan
Dennis Van Zant,1976,1976,F,06-Sep,210,"June 1, 1952",Azusa Pacific University
Dennis Wuycik,1973,1975,F,06-Jun,215,"March 29, 1950",University of North Carolina
Denzel Valentine,2017,2018,G,06-Jun,212,"November 16, 1993",Michigan State University
DeQuan Jones,2013,2013,F,06-Aug,221,"June 20, 1990",University of Miami
Derek Anderson,1998,2008,G,06-May,194,"July 18, 1974",University of Kentucky
Derek Fisher,1997,2014,G,06-Jan,200,"August 9, 1974",University of Arkansas at Little Rock
Derek Grimm,1998,1998,F,06-Sep,230,"August 3, 1974",University of Missouri
Derek Harper,1984,1999,G,06-Apr,185,"October 13, 1961",University of Illinois at Urbana-Champaign
Derek Hood,2000,2000,F,06-Aug,222,"December 22, 1976",University of Arkansas
Derek Smith,1983,1991,G-F,06-Jun,205,"November 1, 1961",University of Louisville
Derek Strong,1992,2001,F,06-Aug,220,"February 9, 1968",Xavier University
DerMarr Johnson,2001,2008,F,06-Sep,201,"May 5, 1980",University of Cincinnati
Dermie O'Connell,1949,1950,G,6-0,174,"April 13, 1928",College of the Holy Cross
Deron Williams,2006,2017,G,06-Mar,200,"June 26, 1984",University of Illinois at Urbana-Champaign
Derrek Dickey,1974,1978,F,06-Jul,218,"March 20, 1951",University of Cincinnati
Derrick Alston,1995,1997,F,06-Nov,225,"August 20, 1972",Duquesne University
Derrick Brown,2010,2012,F,06-Jul,225,"September 8, 1987",Xavier University
Derrick Byars,2012,2012,F,06-Jul,220,"April 25, 1984",Vanderbilt University
Derrick Caracter,2011,2011,F,06-Sep,275,"May 4, 1988",University of Texas at El Paso
Derrick Chievous,1989,1991,F,06-Jul,195,"July 3, 1967",University of Missouri
Derrick Coleman,1991,2005,F,06-Oct,230,"June 21, 1967",Syracuse University
Derrick Dial,2000,2004,G,06-Apr,184,"December 20, 1975",Eastern Michigan University
Derrick Favors,2011,2018,F-C,06-Oct,265,"July 15, 1991",Georgia Institute of Technology
Derrick Gervin,1990,1991,F,06-Aug,200,"March 28, 1963",University of Texas at San Antonio
Derrick Jones,2017,2018,F,06-Jul,190,"February 15, 1997","University of Nevada, Las Vegas"
Derrick McKey,1988,2002,F-C,06-Sep,205,"October 10, 1966",University of Alabama
Derrick Phelps,1995,1995,G,06-Apr,181,"July 31, 1972",University of North Carolina
Derrick Rose,2009,2018,G,06-Mar,190,"October 4, 1988",University of Memphis
Derrick Rowland,1986,1986,G,06-May,195,"June 21, 1959",State University of New York at Potsdam
Derrick Walton,2018,2018,G,06-Jan,189,"April 3, 1995",University of Michigan
Derrick White,2018,2018,G,06-May,190,"July 2, 1994",University of Colorado
Derrick Williams,2012,2017,F,06-Aug,240,"May 25, 1991",University of Arizona
Derrick Zimmerman,2006,2006,G,06-Mar,195,"December 2, 1981",Mississippi State University
DeSagana Diop,2002,2013,C,7-0,300,"January 30, 1982",
DeShawn Stevenson,2001,2013,G,06-May,210,"April 3, 1981",
Desmon Farmer,2007,2009,G,06-May,220,"October 7, 1981",University of Southern California
Desmond Ferguson,2004,2004,G-F,06-Jul,203,"July 22, 1977",University of Detroit Mercy
Desmond Mason,2001,2010,F,06-Jul,224,"October 11, 1977",Oklahoma State University
Desmond Penigar,2004,2004,F,06-Jul,245,"July 16, 1981",Utah State University
Detlef Schrempf,1986,2001,F-C,06-Sep,214,"January 21, 1963",University of Washington
Devean George,2000,2010,G-F,06-Aug,220,"August 29, 1977",Augsburg College
Devin Booker,2016,2018,G,06-Jun,206,"October 30, 1996",University of Kentucky
Devin Brown,2003,2010,G,06-May,220,"December 30, 1978",University of Texas at San Antonio
Devin Durrant,1985,1986,F,06-Jul,200,"October 20, 1960",Brigham Young University
Devin Ebanks,2011,2013,F,06-Sep,215,"October 28, 1989",West Virginia University
Devin Gray,1997,2000,F,06-Jul,240,"May 31, 1972",Clemson University
Devin Green,2006,2006,G,06-Jul,210,"October 25, 1982",Hampton University
Devin Harris,2005,2018,G,06-Mar,192,"February 27, 1983",University of Wisconsin
Devyn Marble,2015,2016,G-F,06-Jun,200,"September 21, 1992",University of Iowa
Dewayne Dedmon,2014,2018,C,7-0,245,"August 12, 1989",University of Southern California
DeWayne Scales,1981,1984,F,06-Aug,208,"December 28, 1958",Louisiana State University
Dewitt Menyard,1968,1968,C,06-Oct,210,"May 24, 1944",University of Utah
Dexter Boney,1997,1997,G,06-Apr,185,"April 27, 1970","University of Nevada, Las Vegas"
Dexter Cambridge,1993,1993,F,06-Jul,224,"January 29, 1970",University of Texas at Austin
Dexter Pittman,2011,2014,C,06-Nov,308,"March 2, 1988",University of Texas at Austin
Dexter Shouse,1990,1990,G,06-Feb,200,"March 24, 1963",University of South Alabama
Dexter Westbrook,1968,1968,F,06-Aug,190,,Providence College
Deyonta Davis,2017,2018,F-C,06-Nov,237,"December 2, 1996",Michigan State University
Diamond Stone,2017,2017,C,06-Nov,255,"February 10, 1997",University of Maryland
Diante Garrett,2013,2014,G,06-Apr,190,"November 3, 1988",Iowa State University
Dick Atha,1956,1958,G,06-Feb,190,"September 21, 1931",Indiana State University
Dick Barnett,1960,1974,G-F,06-Apr,190,"October 2, 1936",Tennessee State University
Dick Bunt,1953,1953,G,6-0,170,"July 13, 1930",New York University
Dick Cunningham,1969,1975,C,06-Oct,245,"July 11, 1946",Murray State University
Dick Dickey,1952,1952,G,06-Jan,175,"October 26, 1926",North Carolina State University
Dick Duckett,1958,1958,G,06-Jan,185,"March 25, 1933",St. John's University
Dick Farley,1955,1959,G-F,06-Apr,190,"April 13, 1932",Indiana University
Dick Fitzgerald,1947,1948,F,06-Feb,175,"November 18, 1920",Fordham University
Dick Garmaker,1956,1961,G-F,06-Mar,200,"October 29, 1932",University of Minnesota
Dick Garrett,1970,1974,G,06-Mar,185,"January 31, 1947",Southern Illinois University
Dick Gibbs,1972,1976,F-G,06-May,210,"December 20, 1948",University of Texas at El Paso
Dick Groat,1953,1953,G,05-Nov,180,"November 4, 1930",Duke University
Dick Grubar,1970,1970,G,06-Apr,184,"July 26, 1947",University of North Carolina
Dick Hemric,1956,1957,F,06-Jun,220,"August 29, 1933",Wake Forest University
Dick Holub,1948,1948,C,06-Jun,205,"October 29, 1921",Long Island University
Dick Knostman,1954,1954,C,06-Jun,215,"August 9, 1931",Kansas State University
Dick Lee,1968,1968,F,06-Jun,,,University of Washington
Dick McGuire,1950,1960,G,6-0,180,"January 25, 1926",St. John's University
Dick Mehen,1950,1952,F-C,06-May,195,"May 20, 1922",University of Tennessee
Dick Miller,1981,1981,F,06-Jun,215,"April 26, 1958",University of Toledo
Dick Murphy,1947,1947,G,06-Jan,175,"March 10, 1921",Manhattan College
Dick Nemelka,1971,1971,G,6-0,175,"October 1, 1943",Brigham Young University
Dick O'Keefe,1948,1951,G-F,06-Feb,185,"September 29, 1923",Santa Clara University
Dick Ricketts,1956,1958,F-C,06-Jul,215,"December 4, 1933",Duquesne University
Dick Rosenthal,1955,1957,F-G,06-May,205,"January 20, 1930",University of Notre Dame
Dick Schnittker,1951,1958,F,06-May,200,"May 27, 1928",Ohio State University
Dick Schulz,1947,1950,F-G,06-Feb,192,"January 3, 1917",University of Wisconsin
Dick Shrider,1949,1949,G,06-Feb,190,"February 7, 1923",Ohio University
Dick Snyder,1967,1979,G-F,06-May,207,"February 1, 1944",Davidson College
Dick Surhoff,1953,1954,F,06-Apr,210,"November 16, 1929",Long Island University
Dick Triptow,1949,1950,G-F,6-0,170,"November 3, 1922",DePaul University
Dick Van Arsdale,1966,1977,G-F,06-May,210,"February 22, 1943",Indiana University
Dick Wehr,1949,1949,F,06-Apr,180,"December 9, 1925",Rice University
Dickey Simpkins,1995,2002,F,06-Sep,248,"April 6, 1972",Providence College
Didier Ilunga-Mbenga,2005,2011,C,7-0,245,"December 30, 1980",
Dijon Thompson,2006,2007,G-F,06-Jul,195,"February 23, 1983","University of California, Los Angeles"
Dike Eddleman,1950,1953,F-G,06-Mar,189,"December 27, 1922",University of Illinois at Urbana-Champaign
Dikembe Mutombo,1992,2009,C,07-Feb,245,"June 25, 1966",Georgetown University
Dillard Crocker,1949,1953,F-G,06-Apr,205,"January 19, 1925",Western Michigan University
Dillon Brooks,2018,2018,G-F,06-Jun,220,"January 22, 1996",University of Oregon
Dino Martin,1947,1948,G,05-Aug,160,"May 25, 1920",Georgetown University
Dino Radja,1994,1997,F-C,06-Nov,225,"April 24, 1967",
Dion Glover,2000,2005,G,06-May,228,"October 22, 1978",Georgia Institute of Technology
Dion Waiters,2013,2018,G,06-Apr,225,"December 10, 1991",Syracuse University
Dionte Christmas,2014,2014,G,06-May,205,"September 15, 1986",Temple University
Dirk Minniefield,1986,1988,G,06-Mar,180,"January 17, 1961",University of Kentucky
Dirk Nowitzki,1999,2018,F,7-0,245,"June 19, 1978",
Doc Rivers,1984,1996,G,06-Apr,185,"October 13, 1961",Marquette University
Dolph Schayes,1950,1964,F-C,06-Aug,220,"May 19, 1928",New York University
Domantas Sabonis,2017,2018,F-C,06-Nov,240,"May 3, 1996",Gonzaga University
Dominic McGuire,2008,2013,F,06-Sep,220,"October 20, 1985","California State University, Fresno"
Dominic Pressley,1989,1989,G,06-Feb,170,"May 30, 1964",Boston College
Dominique Jones,2011,2013,G,06-Apr,215,"October 15, 1988",University of South Florida
Dominique Wilkins,1983,1999,F-G,06-Jul,200,"January 12, 1960",University of Georgia
Don Ackerman,1954,1954,G,6-0,183,"September 4, 1930",Long Island University
Don Adams,1971,1977,F,06-Jun,210,"November 27, 1947",Northwestern University
Don Anielak,1955,1955,F,06-Jul,190,"November 1, 1930",Missouri State University
Don Asmonga,1954,1954,G,06-Feb,185,"February 15, 1928",Alliance College
Don Barksdale,1952,1955,F-C,06-Jun,200,"March 31, 1923","University of California, Los Angeles"
Don Bielke,1956,1956,C,06-Jul,240,,Valparaiso University
Don Boven,1950,1953,F-G,06-Apr,210,"March 6, 1925",Western Michigan University
Don Buse,1973,1985,G,06-Apr,190,"August 10, 1950",University of Evansville
Don Carlos,1969,1969,G-F,06-May,210,"March 3, 1944",Otterbein College
Don Carlson,1947,1951,G-F,6-0,170,"March 22, 1919",University of Minnesota
Don Chaney,1969,1980,G,06-May,210,"March 22, 1946",University of Houston
Don Collins,1981,1987,F-G,06-Jun,190,"November 28, 1958",Washington State University
Don Dee,1969,1969,F,06-Aug,210,"August 9, 1943",Saint Mary of the Plains College
Don Eliason,1947,1947,F,06-Feb,210,"July 24, 1918",Hamline University
Don Ford,1976,1982,F,06-Sep,215,"December 31, 1952","University of California, Santa Barbara"
Don Grate,1950,1950,F-G,06-Feb,185,"August 27, 1923",Ohio State University
Don Hanrahan,1953,1953,F,06-Jul,200,"February 6, 1929",Loyola University of Chicago
Don Henriksen,1953,1955,F-C,06-Jul,225,"October 10, 1929",University of California
Don Kojis,1964,1975,F,06-May,215,"January 15, 1939",Marquette University
Don Lofgran,1951,1954,F-C,06-May,200,"November 8, 1929",University of San Francisco
Don MacLean,1993,2001,F,06-Oct,235,"January 16, 1970","University of California, Los Angeles"
Don Martin,1947,1949,C-F,06-Jul,210,"February 7, 1920",Central Missouri State University
Don May,1969,1975,F,06-Apr,200,"January 3, 1946",University of Dayton
Don Nelson,1963,1976,F,06-Jun,210,"May 15, 1940",University of Iowa
Don Ohl,1961,1970,G,06-Mar,190,"April 18, 1936",University of Illinois at Urbana-Champaign
Don Otten,1950,1953,C,06-Oct,240,"April 18, 1921",Bowling Green State University
Don Putman,1947,1950,G,06-Jan,170,"November 13, 1922",University of Denver
Don Ray,1950,1950,F-C,06-May,190,"July 8, 1921",Western Kentucky University
Don Rehfeldt,1951,1952,F,06-Jul,210,"January 7, 1927",University of Wisconsin
Don Reid,1996,2003,F,06-Aug,250,"December 30, 1973",Georgetown University
Don Savage,1952,1957,F-G,06-Mar,205,"April 9, 1928",LeMoyne College
Don Smith,1949,1949,G-F,06-Feb,190,"July 27, 1920",University of Minnesota
Don Smith,1975,1975,G,6-0,160,"October 10, 1951",University of Dayton
Don Sunderlage,1954,1955,G,06-Jan,180,"December 20, 1929",University of Illinois at Urbana-Champaign
Donald Hodge,1992,1996,C,7-0,230,"February 25, 1969",Temple University
Donald Royal,1990,1998,F,06-Aug,210,"May 22, 1966",University of Notre Dame
Donald Sidle,1969,1972,F-C,06-Aug,215,"June 21, 1946",University of Oklahoma
Donald Sloan,2012,2016,G,06-Mar,205,"January 15, 1988",Texas A&M University
Donald Washington,1975,1976,F,06-Aug,210,"April 22, 1952",University of North Carolina
Donald Whiteside,1997,1998,G,05-Oct,160,"April 25, 1969",Northern Illinois University
Donatas Motiejunas,2013,2017,F-C,7-0,222,"September 20, 1990",
Donell Taylor,2006,2007,G,06-Jun,180,"July 26, 1982",University of Alabama at Birmingham
Donnell Harvey,2001,2005,F,06-Aug,220,"August 26, 1980",University of Florida
Donnie Boyce,1996,1997,G,06-May,196,"September 2, 1973",University of Colorado
Donnie Butcher,1962,1966,G,06-Feb,200,"February 8, 1936",Pikeville College
Donnie Forman,1949,1949,G,05-Oct,175,"January 17, 1926",New York University
Donnie Freeman,1968,1976,G,06-Mar,185,"July 18, 1944",University of Illinois at Urbana-Champaign
Donny Marshall,1996,2003,F,06-Jul,230,"July 17, 1972",University of Connecticut
Donovan Mitchell,2018,2018,G,06-Mar,211,"September 7, 1996",University of Louisville
Donta Smith,2005,2006,G-F,06-Jul,215,"November 27, 1983",Southeastern Illinois College
Dontae' Jones,1998,1998,F,06-Aug,220,"June 2, 1975",Mississippi State University
Donte Greene,2009,2012,F,06-Nov,226,"February 21, 1988",Syracuse University
Dontell Jefferson,2009,2009,G,06-May,195,"December 15, 1983",University of Arkansas
Dontonio Wingfield,1995,1998,F,06-Aug,256,"June 23, 1974",University of Cincinnati
Donyell Marshall,1995,2009,F,06-Sep,218,"May 18, 1973",University of Connecticut
Dorell Wright,2005,2015,F-G,06-Sep,205,"December 2, 1985",
Dorian Finney-Smith,2017,2018,F,06-Aug,220,"May 4, 1993",University of Florida
Dorie Murrey,1967,1972,F-C,06-Aug,215,"September 7, 1943",University of Detroit Mercy
Doron Lamb,2013,2014,G,06-Apr,210,"November 6, 1991",University of Kentucky
Doug Bolstorff,1958,1958,G,06-Apr,195,"October 29, 1931",University of Minnesota
Doug Christie,1993,2007,G-F,06-Jun,200,"May 9, 1970",Pepperdine University
Doug Collins,1974,1981,G-F,06-Jun,180,"July 28, 1951",Illinois State University
Doug Edwards,1994,1996,F,06-Jul,220,"January 21, 1971",Florida State University
Doug Holcomb,1949,1949,F,06-Apr,200,"February 9, 1925",University of Wisconsin
Doug Kistler,1962,1962,F,06-Sep,210,"March 21, 1938",Duke University
Doug Lee,1992,1995,G-F,06-May,200,"October 24, 1964",Purdue University
Doug McDermott,2015,2018,F,06-Aug,225,"January 3, 1992",Creighton University
Doug Moe,1968,1972,F-G,06-May,215,"September 21, 1938",University of North Carolina
Doug Overton,1993,2004,G,06-Mar,190,"August 3, 1969",La Salle University
Doug Roth,1990,1990,C,06-Nov,255,"August 24, 1967",University of Tennessee
Doug Sims,1969,1969,F,06-Jul,195,"June 29, 1943",Kent State University
Doug Smith,1992,1996,F,06-Oct,220,"September 17, 1969",University of Missouri
Doug West,1990,2001,G-F,06-Jun,200,"May 27, 1967",Villanova University
Doyle Parrack,1947,1947,F-G,6-0,165,"December 6, 1921",Oklahoma State University
Dragan Bender,2017,2018,F,07-Jan,225,"November 17, 1997",
Dragan Tarlac,2001,2001,C,06-Oct,260,"May 9, 1973",
Draymond Green,2013,2018,F,06-Jul,230,"March 4, 1990",Michigan State University
Drazen Petrovic,1990,1993,G,06-May,195,"October 22, 1964",
Drew Barry,1998,2000,G,06-May,191,"February 17, 1973",Georgia Institute of Technology
Drew Gooden,2003,2016,F,06-Oct,250,"September 24, 1981",University of Kansas
Drew Gordon,2015,2015,F,06-Sep,245,"July 12, 1990",University of New Mexico
Duane Causwell,1991,2001,C,7-0,240,"May 31, 1968",Temple University
Duane Cooper,1993,1994,G,06-Jan,185,"June 25, 1969",University of Southern California
Duane Ferrell,1989,1999,F-G,06-Jul,209,"February 28, 1965",Georgia Institute of Technology
Duane Klueh,1950,1951,G,06-Mar,175,"January 6, 1926",Indiana State University
Duane Washington,1988,1993,G,06-Apr,195,"August 31, 1964",Middle Tennessee State University
Duck Williams,1980,1980,G,06-Feb,180,"August 2, 1956",University of Notre Dame
Dudley Bradley,1980,1989,G-F,06-Jun,195,"March 19, 1957",University of North Carolina
Duje Dukan,2016,2016,F,06-Sep,220,"December 4, 1991",University of Wisconsin
Dwaine Dillard,1976,1976,F,06-Jun,230,"March 9, 1949",Eastern Michigan University
Dwayne Bacon,2018,2018,G,06-Jun,222,"August 30, 1995",Florida State University
Dwayne Jones,2006,2010,F-C,06-Nov,250,"June 9, 1983",Saint Joseph's University
Dwayne McClain,1986,1986,G,06-Jun,185,"February 7, 1963",Villanova University
Dwayne Morton,1995,1995,F,06-Jul,195,"August 8, 1971",University of Louisville
Dwayne Polee,1987,1987,G,06-May,180,"March 2, 1963",Pepperdine University
Dwayne Schintzius,1991,1999,C,07-Jan,260,"October 14, 1968",University of Florida
Dwayne Whitfield,1996,1996,F,06-Sep,240,"August 21, 1972",Jackson State University
Dwight Anderson,1983,1983,G,06-Mar,185,"December 28, 1960",University of Southern California
Dwight Buycks,2014,2015,G,06-Mar,190,"March 6, 1989",Marquette University
Dwight Davis,1973,1977,F,06-Aug,220,"October 28, 1949",University of Houston
Dwight Howard,2005,2018,C,06-Nov,265,"December 8, 1985",
Dwight Jones,1974,1983,F-C,06-Oct,210,"February 27, 1952",University of Houston
Dwight Powell,2015,2018,F-C,06-Nov,240,"July 20, 1991",Stanford University
Dwight Waller,1969,1972,F,06-Jun,220,"October 5, 1945",Tennessee State University
Dwyane Wade,2004,2018,G,06-Apr,220,"January 17, 1982",Marquette University
Dyron Nix,1990,1990,F,06-Jul,210,"February 11, 1967",University of Tennessee
